name,population,latitude,longitude
Kathmandu,1442271,27.701690000000003,85.3206
Pokhara,200000,28.266890000000004,83.96851
Pātan,183310,27.676579999999998,85.31416999999999
Biratnagar,182324,26.45505,87.27006999999999
Birgañj,133238,27.017090000000003,84.8808
Dharān,108600,26.814359999999997,87.27972
Bharatpur,107157,27.6768,84.43589
Janakpur,93767,26.728820000000002,85.92628
Dhangaḍhi̇̄,92294,28.70137,80.58975
Butwāl,91733,27.70055,83.44836
Mahendranagar,88381,28.963990000000003,80.17715
Hetauda,84775,27.428390000000004,85.03219
Madhyapur Thimi,83036,27.680559999999996,85.3875
Triyuga,71405,26.7919,86.699
Inaruwa,70093,26.60675,87.1478
Nepalgunj,64400,28.05,81.61667
Siddharthanagar,63367,27.5,83.45
Gulariyā,53107,28.23333,81.33333
Titahari,47984,26.66371,87.27403000000001
Panauti,46595,27.584659999999996,85.52122
Tīkāpur,44758,28.5,81.13333
Kirtipur,44632,27.678720000000002,85.2775
Tulsīpur,39058,28.13099,82.29726
Rājbirāj,33061,26.53968,86.74795999999999
Lahān,31495,26.72022,86.48258
Birendranagar,31381,28.601940000000003,81.63389000000001
Panauti̇̄,27602,27.584529999999997,85.51484
Gaur,27325,26.76448,85.27841
Siraha,24657,26.654220000000002,86.20795
Tānsen,23693,27.867309999999996,83.5467
