Name,Lat,Lon
FLO0,26.684993100000003,87.9908844
FLO1,27.6296267,85.5237477
FLO2,28.806299,81.8383173
FLO3,27.7177784,85.33050379999999
FLO4,26.909188699999998,87.9266972
FLO5,29.568836199999996,80.80174759999998
FLO6,28.169185,83.037786
FLO7,28.8116311,80.5532168
FLO8,28.0475418,83.74963819999999
FLO9,26.6525245,87.4493976
FLO10,26.6712262,87.7031023
FLO11,27.6814028,84.4315012
FLO12,26.5380402,86.74280300000001
FLO13,27.441993100000005,85.0792469
FLO14,27.6699428,85.309812
FLO15,27.994658299999998,84.6281275
FLO16,27.674426300000004,85.4037681
FLO17,27.711015999999997,85.3147438
FLO18,28.185470000000002,83.17835
FLO19,28.7536724,81.6880453
